,model,batch_size,epochs,dataset_size,time_to_train,time_to_retrain,time_to_predict,accuracy,name
321,RNN,128,1,31200,4.4436845779418945,1.689138412475586,2.1708619594573975,0.7117999792098999,Oliver
322,FNN,128,1,31200,3.4215755462646484,1.9058222770690918,0.8265626430511475,0.9045000076293945,Oliver
323,CNN,128,1,31200,3.410985231399536,2.1453540325164795,0.7413203716278076,0.9610000252723694,Oliver
324,RNN,128,1,31800,4.4938459396362305,1.9318017959594727,1.5485296249389648,0.6661999821662903,Oliver
325,FNN,128,1,31800,3.1463239192962646,2.0322232246398926,0.6695616245269775,0.900600016117096,Oliver
326,CNN,128,1,31800,3.536886692047119,2.2418181896209717,0.7841076850891113,0.9595000147819519,Oliver
327,RNN,128,1,32400,4.817079544067383,1.933058261871338,1.621974229812622,0.7702000141143799,Oliver
328,FNN,128,1,32400,3.373149871826172,2.067996025085449,0.7795310020446777,0.8999000191688538,Oliver
329,CNN,128,1,32400,3.611945152282715,2.4414889812469482,0.7326338291168213,0.9599000215530396,Oliver
330,RNN,128,1,33000,4.780396223068237,1.7520537376403809,1.686941385269165,0.779699981212616,Oliver
331,FNN,128,1,33000,3.034151554107666,2.0218186378479004,0.7150425910949707,0.8859999775886536,Oliver
332,CNN,128,1,33000,3.410576820373535,2.283693552017212,0.7715985774993896,0.9624999761581421,Oliver
333,RNN,128,1,33600,4.841452598571777,1.9786579608917236,1.4475407600402832,0.8289999961853027,Oliver
334,FNN,128,1,33600,3.17496395111084,2.058900833129883,0.8894202709197998,0.9135000109672546,Oliver
335,CNN,128,1,33600,3.4560024738311768,2.5310118198394775,0.9260210990905762,0.9670000076293945,Oliver
336,RNN,128,1,34200,5.134918689727783,2.110583782196045,1.4175450801849365,0.8683000206947327,Oliver
337,FNN,128,1,34200,3.0057053565979004,7.6533966064453125,15.047526359558105,0.9089999794960022,Oliver
338,CNN,128,1,34200,5.038234710693359,3.9309778213500977,0.9935324192047119,0.9606000185012817,Oliver
339,RNN,128,1,34800,6.455315351486206,3.831266164779663,1.4191045761108398,0.8798999786376953,Oliver
340,FNN,128,1,34800,8.93602204322815,7.701036214828491,1.143122911453247,0.906499981880188,Oliver
341,CNN,128,1,34800,5.485268831253052,3.7662174701690674,0.9020848274230957,0.9632999897003174,Oliver
342,RNN,128,1,35400,6.360593318939209,3.7111759185791016,1.4022066593170166,0.7821000218391418,Oliver
343,FNN,128,1,35400,8.657240152359009,7.561920166015625,1.269481897354126,0.9114000201225281,Oliver
344,CNN,128,1,35400,5.0646467208862305,3.9171440601348877,0.9643616676330566,0.9616000056266785,Oliver
345,RNN,128,1,36000,7.078686475753784,3.5425779819488525,1.397324562072754,0.8676999807357788,Oliver
346,FNN,128,1,36000,8.44584035873413,7.437583684921265,1.2044587135314941,0.9121999740600586,Oliver
347,CNN,128,1,36000,5.21868634223938,3.8719801902770996,1.1558372974395752,0.9646999835968018,Oliver
348,RNN,128,1,36600,7.138247489929199,3.7350761890411377,1.3751416206359863,0.8828999996185303,Oliver
349,FNN,128,1,36600,8.558411836624146,6.977859258651733,1.177079439163208,0.8737999796867371,Oliver
350,CNN,128,1,36600,4.978857755661011,4.097048997879028,1.109393835067749,0.9677000045776367,Oliver
351,RNN,128,1,37200,6.332141399383545,3.6873929500579834,1.3279087543487549,0.8267999887466431,Oliver
352,FNN,128,1,37200,8.317206859588623,7.127582550048828,1.149179458618164,0.9154000282287598,Oliver
353,CNN,128,1,37200,5.217836380004883,3.9992616176605225,0.9193711280822754,0.9671000242233276,Oliver
354,RNN,128,1,37800,6.561748266220093,3.588951349258423,1.3809294700622559,0.8452000021934509,Oliver
355,FNN,128,1,37800,7.751822471618652,6.522880792617798,1.0472331047058105,0.9054999947547913,Oliver
356,CNN,128,1,37800,5.171585559844971,3.7435691356658936,0.8726558685302734,0.9672999978065491,Oliver
357,RNN,128,1,38400,7.007525682449341,4.357546329498291,1.4369893074035645,0.8726999759674072,Oliver
358,FNN,128,1,38400,6.412564516067505,5.283460378646851,1.1565489768981934,0.9136000275611877,Oliver
359,CNN,128,1,38400,4.843194961547852,3.8014774322509766,0.9334464073181152,0.9639999866485596,Oliver
360,RNN,128,1,39000,6.422519683837891,3.4648098945617676,1.3463993072509766,0.850600004196167,Oliver
361,FNN,128,1,39000,7.71424674987793,6.409982919692993,1.045825481414795,0.9107999801635742,Oliver
362,CNN,128,1,39000,5.226512908935547,3.9629898071289062,0.9053082466125488,0.9679999947547913,Oliver
363,RNN,128,1,39600,6.406200170516968,3.5040247440338135,1.4004535675048828,0.8680999875068665,Oliver
364,FNN,128,1,39600,6.551349878311157,5.178445100784302,0.9361529350280762,0.9125000238418579,Oliver
365,CNN,128,1,39600,5.237476348876953,3.5256869792938232,0.9503345489501953,0.9682999849319458,Oliver
366,RNN,128,1,40200,5.933664083480835,3.1427056789398193,1.386523962020874,0.8729000091552734,Oliver
367,FNN,128,1,40200,6.428664922714233,5.309222221374512,0.852837085723877,0.9160000085830688,Oliver
368,CNN,128,1,40200,4.972073316574097,3.924631118774414,0.8532009124755859,0.9649999737739563,Oliver
369,RNN,128,1,40800,6.226758718490601,3.298402786254883,1.4361848831176758,0.8686000108718872,Oliver
370,FNN,128,1,40800,5.969741344451904,4.699441194534302,0.8652019500732422,0.9160000085830688,Oliver
371,CNN,128,1,40800,4.446254014968872,3.8148539066314697,0.8881216049194336,0.9685999751091003,Oliver
372,RNN,128,1,41400,6.32778000831604,3.0779991149902344,1.423752784729004,0.8812999725341797,Oliver
373,FNN,128,1,41400,7.048110723495483,5.571615934371948,0.9450128078460693,0.9101999998092651,Oliver
374,CNN,128,1,41400,5.171422481536865,3.7645840644836426,0.7978420257568359,0.9631999731063843,Oliver
375,RNN,128,1,42000,5.71445107460022,3.0566322803497314,1.4651670455932617,0.8950999975204468,Oliver
376,FNN,128,1,42000,6.961819648742676,5.606508016586304,0.9749774932861328,0.9157000184059143,Oliver
377,CNN,128,1,42000,5.11354398727417,3.4725849628448486,0.903419017791748,0.968999981880188,Oliver
378,RNN,128,1,42600,5.580141305923462,2.793360710144043,1.3524878025054932,0.8360000252723694,Oliver
379,FNN,128,1,42600,5.829892635345459,5.176795244216919,0.881960391998291,0.9021000266075134,Oliver
380,CNN,128,1,42600,4.9913928508758545,3.515995979309082,0.8636264801025391,0.9674000144004822,Oliver
381,RNN,128,1,43200,5.721606254577637,2.7237119674682617,1.6499273777008057,0.8898000121116638,Oliver
382,FNN,128,1,43200,4.629407167434692,3.5589382648468018,0.7410283088684082,0.9053000211715698,Oliver
383,CNN,128,1,43200,4.552526235580444,3.2616190910339355,0.7902414798736572,0.9690999984741211,Oliver
384,RNN,128,1,43800,5.244162082672119,2.665637969970703,1.4953348636627197,0.8755999803543091,Oliver
385,FNN,128,1,43800,4.675391435623169,3.347672462463379,0.8046376705169678,0.9090999960899353,Oliver
386,CNN,128,1,43800,4.59647274017334,3.215663194656372,0.7730758190155029,0.9663000106811523,Oliver
387,RNN,128,1,44400,5.169170618057251,2.7812135219573975,1.696692705154419,0.8835999965667725,Oliver
388,FNN,128,1,44400,4.3301918506622314,3.198845863342285,0.7463769912719727,0.9114999771118164,Oliver
389,CNN,128,1,44400,4.276270151138306,3.2316951751708984,0.7495415210723877,0.9695000052452087,Oliver
390,RNN,128,1,45000,5.360251188278198,2.5623483657836914,1.5730407238006592,0.8403000235557556,Oliver
391,FNN,128,1,45000,4.358314752578735,3.1100945472717285,0.7958817481994629,0.9114000201225281,Oliver
392,CNN,128,1,45000,4.237869024276733,3.187577486038208,0.7919716835021973,0.9684000015258789,Oliver
393,RNN,128,1,45600,5.414233207702637,2.617906093597412,1.3435208797454834,0.8640000224113464,Oliver
394,FNN,128,1,45600,4.42438006401062,3.1259748935699463,0.7742912769317627,0.909500002861023,Oliver
395,CNN,128,1,45600,4.622213840484619,3.3876564502716064,0.8608345985412598,0.9679999947547913,Oliver
396,RNN,128,1,46200,5.422505855560303,2.6415579319000244,1.4818775653839111,0.8797000050544739,Oliver
397,FNN,128,1,46200,4.4475157260894775,3.0479815006256104,0.681128740310669,0.9146000146865845,Oliver
398,CNN,128,1,46200,4.548815011978149,3.2628390789031982,0.7778136730194092,0.968999981880188,Oliver
399,RNN,128,1,46800,5.655463457107544,2.475898504257202,1.4855401515960693,0.849399983882904,Oliver
400,FNN,128,1,46800,4.165432453155518,3.0713298320770264,0.7836785316467285,0.9126999974250793,Oliver
401,CNN,128,1,46800,4.713921546936035,3.3675496578216553,0.8259215354919434,0.970300018787384,Oliver
402,RNN,128,1,47400,5.724227666854858,2.6952385902404785,1.6595468521118164,0.8109999895095825,Oliver
403,FNN,128,1,47400,4.32555890083313,3.0739428997039795,0.830333948135376,0.910099983215332,Oliver
404,CNN,128,1,47400,4.489416837692261,3.5317888259887695,0.8025298118591309,0.9711999893188477,Oliver
405,RNN,128,1,48000,5.3433990478515625,2.665046215057373,1.462597370147705,0.8834999799728394,Oliver
406,FNN,128,1,48000,4.12702751159668,2.930286407470703,0.7735805511474609,0.9124000072479248,Oliver
407,CNN,128,1,48000,4.749149322509766,3.3852951526641846,0.7945308685302734,0.9679999947547913,Oliver
408,RNN,128,1,48600,5.9100868701934814,2.5968916416168213,1.7728619575500488,0.8468999862670898,Oliver
409,FNN,128,1,48600,4.177907466888428,3.051828622817993,0.6660685539245605,0.9154000282287598,Oliver
410,CNN,128,1,48600,4.541010141372681,3.392688035964966,0.8479020595550537,0.970300018787384,Oliver
411,RNN,128,1,49200,5.699439287185669,2.6089468002319336,1.633929967880249,0.8375999927520752,Oliver
412,FNN,128,1,49200,4.050668001174927,2.89025616645813,0.6408419609069824,0.9136000275611877,Oliver
413,CNN,128,1,49200,4.485997438430786,3.3384523391723633,0.8373856544494629,0.97079998254776,Oliver
414,RNN,128,1,49800,5.8364012241363525,2.880812883377075,1.4798803329467773,0.8669999837875366,Oliver
415,FNN,128,1,49800,4.193717956542969,3.0352623462677,0.6639037132263184,0.9146000146865845,Oliver
416,CNN,128,1,49800,4.764732360839844,3.446690082550049,0.7838962078094482,0.9714000225067139,Oliver
417,RNN,128,1,50400,6.063536167144775,2.9649667739868164,1.647711992263794,0.8743000030517578,Oliver
418,FNN,128,1,50400,4.158081293106079,2.9795804023742676,0.8146498203277588,0.9085000157356262,Oliver
419,CNN,128,1,50400,5.014480352401733,3.452319383621216,0.7555925846099854,0.9700000286102295,Oliver
420,RNN,128,1,51000,6.070004224777222,2.8473358154296875,1.4373152256011963,0.8640000224113464,Oliver
421,FNN,128,1,51000,4.093930244445801,3.130568742752075,0.7627034187316895,0.9168000221252441,Oliver
422,CNN,128,1,51000,4.8740317821502686,3.5805933475494385,0.86301589012146,0.9713000059127808,Oliver
423,RNN,128,1,51600,5.324634790420532,2.6413421630859375,1.71476411819458,0.8453999757766724,Oliver
424,FNN,128,1,51600,4.203622341156006,3.0702998638153076,0.7463140487670898,0.909600019454956,Oliver
425,CNN,128,1,51600,4.941721677780151,3.6684086322784424,0.8812253475189209,0.9710000157356262,Oliver
426,RNN,128,1,52200,5.599374055862427,2.5913913249969482,1.7860476970672607,0.7940999865531921,Oliver
427,FNN,128,1,52200,4.318905830383301,3.0160627365112305,0.7373237609863281,0.9146000146865845,Oliver
428,CNN,128,1,52200,5.124280214309692,3.704685926437378,0.8084859848022461,0.9678000211715698,Oliver
429,RNN,128,1,52800,5.879063844680786,2.8245127201080322,1.4718172550201416,0.8773999810218811,Oliver
430,FNN,128,1,52800,4.511613130569458,3.2118334770202637,0.8351128101348877,0.9143999814987183,Oliver
431,CNN,128,1,52800,4.947574853897095,3.9645493030548096,0.9644732475280762,0.9696000218391418,Oliver
432,RNN,128,1,53400,5.978043079376221,2.750934600830078,1.8826110363006592,0.8964999914169312,Oliver
433,FNN,128,1,53400,4.2384889125823975,3.148298740386963,0.6916618347167969,0.9143000245094299,Oliver
434,CNN,128,1,53400,4.787085294723511,3.9142510890960693,0.8476111888885498,0.9702000021934509,Oliver
435,RNN,128,1,54000,6.209855079650879,3.046435594558716,1.3123805522918701,0.8679999709129333,Oliver
436,FNN,128,1,54000,4.33568263053894,3.122115135192871,0.6357669830322266,0.9172999858856201,Oliver
437,CNN,128,1,54000,4.8537187576293945,3.93705153465271,0.7654123306274414,0.9717000126838684,Oliver
438,RNN,128,1,54600,5.774074077606201,2.89900279045105,1.5849173069000244,0.8741000294685364,Oliver
439,FNN,128,1,54600,4.5708184242248535,3.229348659515381,0.7569372653961182,0.9172999858856201,Oliver
440,CNN,128,1,54600,4.837819337844849,3.671842575073242,0.7627973556518555,0.9714000225067139,Oliver
441,RNN,128,1,55200,5.569986343383789,3.0811550617218018,1.7836925983428955,0.9125999808311462,Oliver
442,FNN,128,1,55200,4.659405946731567,3.1641628742218018,0.7405991554260254,0.9156000018119812,Oliver
443,CNN,128,1,55200,4.896778345108032,4.029503345489502,0.8550586700439453,0.972599983215332,Oliver
